SweepParam,TxD,TxW,TxG,RxH,RxA,TxT,RxT,Rx_Voltage
TxD,10,3,3,30,-10,0.2,0.2,0.094005
TxD,15,3,3,30,-10,0.2,0.2,0.117468
TxD,20,3,3,30,-10,0.2,0.2,0.136607
TxD,25,3,3,30,-10,0.2,0.2,0.153958
TxD,30,3,3,30,-10,0.2,0.2,0.169670
TxD,35,3,3,30,-10,0.2,0.2,0.185540
TxD,40,3,3,30,-10,0.2,0.2,0.201655
TxW,20,1,3,30,-10,0.2,0.2,0.142722
TxW,20,2,3,30,-10,0.2,0.2,0.139555
TxW,20,3,3,30,-10,0.2,0.2,0.136607
TxW,20,4,3,30,-10,0.2,0.2,0.134599
TxW,20,5,3,30,-10,0.2,0.2,0.133721
TxW,20,6,3,30,-10,0.2,0.2,0.133074
TxW,20,7,3,30,-10,0.2,0.2,0.132881
TxW,20,8,3,30,-10,0.2,0.2,0.133466
TxW,20,9,3,30,-10,0.2,0.2,0.134629
TxW,20,10,3,30,-10,0.2,0.2,0.135756
TxG,20,3,1,30,-10,0.2,0.2,0.138753
TxG,20,3,2,30,-10,0.2,0.2,0.137375
TxG,20,3,3,30,-10,0.2,0.2,0.136607
TxG,20,3,4,30,-10,0.2,0.2,0.135291
TxG,20,3,5,30,-10,0.2,0.2,0.135095
TxG,20,3,6,30,-10,0.2,0.2,0.134719
TxG,20,3,7,30,-10,0.2,0.2,0.134493
TxG,20,3,8,30,-10,0.2,0.2,0.134337
TxG,20,3,9,30,-10,0.2,0.2,0.134406
TxG,20,3,10,30,-10,0.2,0.2,0.134297
RxH,20,3,3,10,-10,0.2,0.2,0.090542
RxH,20,3,3,20,-10,0.2,0.2,0.115447
RxH,20,3,3,30,-10,0.2,0.2,0.136607
RxH,20,3,3,40,-10,0.2,0.2,0.155835
RxH,20,3,3,50,-10,0.2,0.2,0.174036
RxA,20,3,3,30,-5,0.2,0.2,0.098239
RxA,20,3,3,30,-10,0.2,0.2,0.136607
RxA,20,3,3,30,-15,0.2,0.2,0.171256
RxA,20,3,3,30,-20,0.2,0.2,0.202381
RxA,20,3,3,30,-25,0.2,0.2,0.231010
RxA,20,3,3,30,-30,0.2,0.2,0.257882
RxA,20,3,3,30,-35,0.2,0.2,0.283219
RxA,20,3,3,30,-40,0.2,0.2,0.307205
