SweepParam,TxD,TxW,TxG,RxH,TxT,RxT,RxW,Rx_Voltage
TxD,10,3,3,30,0.2,0.2,3,0.596949
TxD,15,3,3,30,0.2,0.2,3,0.585739
TxD,20,3,3,30,0.2,0.2,3,0.580169
TxD,25,3,3,30,0.2,0.2,3,0.573750
TxD,30,3,3,30,0.2,0.2,3,0.571758
TxD,35,3,3,30,0.2,0.2,3,0.568266
TxD,40,3,3,30,0.2,0.2,3,0.565799
TxW,20,1,3,30,0.2,0.2,3,0.571308
TxW,20,2,3,30,0.2,0.2,3,0.576010
TxW,20,3,3,30,0.2,0.2,3,0.580169
TxW,20,4,3,30,0.2,0.2,3,0.583498
TxW,20,5,3,30,0.2,0.2,3,0.586408
TxW,20,6,3,30,0.2,0.2,3,0.589781
TxW,20,7,3,30,0.2,0.2,3,0.592620
TxW,20,8,3,30,0.2,0.2,3,0.594940
TxW,20,9,3,30,0.2,0.2,3,0.597694
TxW,20,10,3,30,0.2,0.2,3,0.600187
RxH,20,3,3,10,0.2,0.2,3,0.263512
RxH,20,3,3,20,0.2,0.2,3,0.442931
RxH,20,3,3,30,0.2,0.2,3,0.580169
RxH,20,3,3,40,0.2,0.2,3,0.690875
RxH,20,3,3,50,0.2,0.2,3,0.787746
RxW,20,3,3,30,0.2,0.2,5,0.590327
RxW,20,3,3,30,0.2,0.2,10,0.616902
RxW,20,3,3,30,0.2,0.2,15,0.633364
RxW,20,3,3,30,0.2,0.2,20,0.650472
RxW,20,3,3,30,0.2,0.2,25,0.670593
RxW,20,3,3,30,0.2,0.2,30,0.689673
TxG,20,3,1,30,0.2,0.2,3,0.570209
TxG,20,3,2,30,0.2,0.2,3,0.574661
TxG,20,3,3,30,0.2,0.2,3,0.580169
TxG,20,3,4,30,0.2,0.2,3,0.584968
TxG,20,3,5,30,0.2,0.2,3,0.588702
TxG,20,3,6,30,0.2,0.2,3,0.592044
TxG,20,3,7,30,0.2,0.2,3,0.595617
TxG,20,3,8,30,0.2,0.2,3,0.598757
TxG,20,3,9,30,0.2,0.2,3,0.601708
TxG,20,3,10,30,0.2,0.2,3,0.604549
